seed,cup,stake,policy,shop_policy,ante_reached,victory,defeat_ante,defeat_blind,gold_earned,gold_final,interest_earned,hands_aces,hands_twos,hands_threes,hands_fours,hands_fives,hands_sixes,hands_three_of_a_kind,hands_four_of_a_kind,hands_full_house,hands_small_straight,hands_large_straight,hands_yahtzee,hands_chance,relics_final,max_hand_score,max_hand_figure
37,standard,1,grid-aware,budget,4,false,4,big,46,2,1,0,0,1,5,5,10,2,0,6,5,1,0,3,cracked_die;cracked_die;cracked_die;triplet_master;triplet_master,1305,full_house
38,standard,1,grid-aware,budget,3,false,3,big,47,15,3,0,0,0,4,2,6,0,1,3,3,0,0,0,polished_stone;triplet_master;polished_stone;clay_piggy_bank;polished_stone,1055,full_house
39,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,1,0,3,3,0,2,1,1,0,0,1,clay_piggy_bank;clay_piggy_bank,132,four_of_a_kind
40,standard,1,grid-aware,budget,1,false,1,big,4,4,0,0,0,0,1,2,2,0,1,0,1,0,0,0,,144,sixes
41,standard,1,grid-aware,budget,1,false,1,boss,10,2,0,0,0,0,1,3,2,0,1,1,1,1,0,1,clay_piggy_bank;polished_stone,300,large_straight
42,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,2,2,2,1,0,0,0,0,0,0,,144,sixes
43,standard,1,grid-aware,budget,1,false,1,boss,12,4,0,0,0,1,1,3,2,0,0,0,2,0,1,1,clay_piggy_bank;polished_stone,390,yahtzee
44,standard,1,grid-aware,budget,2,false,2,boss,30,6,0,0,0,2,2,4,5,1,1,2,1,0,0,4,polished_stone;polished_stone;clay_piggy_bank;clay_piggy_bank;triplet_master,472,full_house
45,standard,1,grid-aware,budget,1,false,1,boss,9,1,0,0,1,1,0,1,2,0,1,1,1,0,0,2,polished_stone;polished_stone,252,four_of_a_kind
46,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,126,sixes
47,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,1,0,2,1,3,2,0,1,1,0,0,0,1,,220,fives
48,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
49,standard,1,grid-aware,budget,4,false,4,boss,63,19,9,0,0,1,1,8,11,2,1,1,5,1,0,6,polished_stone;polished_stone;polished_stone;cracked_die;cracked_die,1430,large_straight
50,standard,1,grid-aware,budget,1,false,1,boss,10,2,0,0,0,0,2,3,3,2,1,0,1,0,0,0,clay_piggy_bank;polished_stone,129,small_straight
51,standard,1,grid-aware,budget,1,false,1,boss,11,3,0,0,0,1,2,2,3,1,0,0,1,2,0,0,clay_piggy_bank;clay_piggy_bank,220,large_straight
52,standard,1,grid-aware,budget,2,false,2,boss,32,8,0,0,0,0,2,6,6,1,0,4,0,0,0,2,polished_stone;cracked_die;clay_piggy_bank;clay_piggy_bank;cracked_die,574,full_house
53,standard,1,grid-aware,budget,2,false,2,big,18,2,0,0,1,0,0,5,5,0,1,2,1,0,0,2,triplet_master;polished_stone;triplet_master;polished_stone,600,four_of_a_kind
54,standard,1,grid-aware,budget,3,false,3,boss,52,16,2,0,0,3,5,5,8,1,1,2,5,1,0,1,polished_stone;polished_stone;triplet_master;clay_piggy_bank;clay_piggy_bank,525,small_straight
55,standard,1,grid-aware,budget,2,false,2,small,14,2,0,0,0,2,0,3,4,1,0,2,1,0,0,1,polished_stone;clay_piggy_bank;polished_stone,384,full_house
56,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,1,0,2,3,1,2,1,1,0,0,0,triplet_master;clay_piggy_bank;triplet_master,351,four_of_a_kind
57,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,126,sixes
58,standard,1,grid-aware,budget,2,false,2,boss,22,2,1,0,0,1,2,5,5,2,1,1,1,1,0,3,polished_stone;triplet_master;triplet_master,657,three_of_a_kind
59,standard,1,grid-aware,budget,3,false,3,big,40,8,1,0,0,3,3,4,7,1,1,1,3,3,0,3,polished_stone;clay_piggy_bank;cracked_die;polished_stone;triplet_master,665,large_straight
60,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,126,sixes
61,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
62,standard,1,grid-aware,budget,3,false,3,boss,38,6,0,0,0,3,3,5,8,0,2,3,3,0,0,2,polished_stone;cracked_die;triplet_master;polished_stone;triplet_master,864,full_house
63,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
64,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,0,2,1,1,1,0,1,0,0,1,clay_piggy_bank,120,fives
65,standard,1,grid-aware,budget,4,false,4,big,94,50,14,2,1,1,1,4,7,2,3,1,4,4,0,7,cracked_die;cracked_die;triplet_master;clay_piggy_bank;clay_piggy_bank,990,four_of_a_kind
66,standard,1,grid-aware,budget,1,false,1,boss,9,5,0,0,0,1,1,3,2,0,1,0,1,0,0,1,cracked_die,280,four_of_a_kind
67,standard,1,grid-aware,budget,2,false,2,big,18,2,0,0,0,2,2,3,5,2,1,1,0,0,0,1,cracked_die;polished_stone;cracked_die;clay_piggy_bank,492,full_house
68,standard,1,grid-aware,budget,3,false,3,boss,39,3,0,0,0,2,3,4,7,0,3,3,7,2,0,3,triplet_master;cracked_die;triplet_master;clay_piggy_bank;triplet_master,1702,four_of_a_kind
69,standard,1,grid-aware,budget,2,false,2,boss,26,2,0,0,1,1,1,5,4,0,1,1,3,1,0,1,cracked_die;cracked_die;triplet_master;clay_piggy_bank;cracked_die,430,full_house
70,standard,1,grid-aware,budget,4,false,4,big,76,28,6,0,0,2,3,5,8,1,2,3,3,4,1,2,cracked_die;clay_piggy_bank;polished_stone;polished_stone;clay_piggy_bank,1125,large_straight
71,standard,1,grid-aware,budget,2,false,2,small,12,0,0,0,0,1,1,4,4,0,0,1,3,1,0,1,triplet_master;clay_piggy_bank,240,large_straight
72,standard,1,grid-aware,budget,1,false,1,boss,10,0,0,0,0,0,2,3,3,1,1,2,0,0,0,0,clay_piggy_bank;ghost_die,188,full_house
73,standard,1,grid-aware,budget,1,false,1,big,4,0,0,0,0,1,1,2,2,0,0,0,1,0,0,0,clay_piggy_bank;clay_piggy_bank,144,sixes
74,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,2,1,2,2,0,0,0,0,0,0,1,triplet_master,144,sixes
75,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
76,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,2,2,2,0,0,0,0,0,0,1,triplet_master,144,sixes
77,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,1,2,2,1,0,0,0,0,0,1,polished_stone,186,sixes
78,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,0,0,2,1,1,1,0,1,0,0,2,,132,four_of_a_kind
79,standard,1,grid-aware,budget,3,false,3,boss,67,31,8,0,0,5,2,5,7,0,0,5,2,2,0,2,cracked_die;cracked_die;clay_piggy_bank;clay_piggy_bank;polished_stone,750,large_straight
80,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,2,1,2,2,0,2,0,0,0,0,2,triplet_master;cracked_die,396,four_of_a_kind
81,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
82,standard,1,grid-aware,budget,1,false,1,big,4,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1,triplet_master;triplet_master,176,full_house
83,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,0,2,2,3,0,0,1,1,1,0,1,triplet_master;triplet_master;clay_piggy_bank,240,large_straight
84,standard,1,grid-aware,budget,2,false,2,big,19,3,0,0,0,0,2,4,4,1,0,0,4,0,0,1,cracked_die;polished_stone;triplet_master;clay_piggy_bank,315,small_straight
85,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,0,1,1,2,1,1,0,1,0,0,1,clay_piggy_bank,132,four_of_a_kind
86,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,2,2,2,2,0,0,1,0,0,0,2,cracked_die;clay_piggy_bank,369,full_house
87,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
88,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,1,1,3,3,0,0,1,2,0,0,1,triplet_master;polished_stone,189,small_straight
89,standard,1,grid-aware,budget,2,false,2,boss,26,6,0,0,0,0,1,4,4,1,2,0,3,0,1,1,cracked_die;cracked_die;cracked_die;cracked_die;cracked_die,720,fives
90,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,0,2,2,2,0,0,0,1,0,0,1,,144,sixes
91,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
92,standard,1,grid-aware,budget,5,false,5,boss,84,28,17,0,0,1,7,6,9,2,3,6,8,4,0,2,cracked_die;polished_stone;triplet_master;polished_stone;polished_stone,2046,four_of_a_kind
93,standard,1,grid-aware,budget,3,false,3,big,49,17,3,0,0,0,2,5,4,2,2,2,1,1,0,3,cracked_die;polished_stone;polished_stone;cracked_die;clay_piggy_bank,750,large_straight
94,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,0,2,1,1,2,0,0,0,0,1,polished_stone,138,sixes
95,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,1,2,2,0,0,0,1,0,0,1,clay_piggy_bank,144,sixes
96,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,144,sixes
97,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,0,1,1,3,1,2,0,1,0,0,2,cracked_die;triplet_master;triplet_master,280,four_of_a_kind
98,standard,1,grid-aware,budget,1,false,1,boss,8,4,0,0,0,1,1,3,3,0,0,1,2,0,0,0,cracked_die,212,full_house
99,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,1,2,2,0,0,0,1,0,0,1,clay_piggy_bank,126,sixes
100,standard,1,grid-aware,budget,2,false,2,boss,25,5,0,0,1,2,3,3,5,2,0,3,1,0,0,1,cracked_die;polished_stone;polished_stone;clay_piggy_bank;cracked_die,864,full_house
101,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
102,standard,1,grid-aware,budget,1,false,1,boss,12,4,0,0,0,0,2,3,3,0,0,0,2,0,0,1,clay_piggy_bank,228,sixes
103,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,126,sixes
104,standard,1,grid-aware,budget,3,false,3,big,40,4,0,0,1,0,4,4,4,3,0,0,5,0,2,2,polished_stone;triplet_master;cracked_die;clay_piggy_bank;clay_piggy_bank,660,yahtzee
105,standard,1,grid-aware,budget,1,false,1,boss,9,1,0,0,0,1,0,3,3,1,0,1,1,1,0,1,clay_piggy_bank;triplet_master;polished_stone,240,large_straight
106,standard,1,grid-aware,budget,3,false,3,boss,84,42,14,0,0,3,1,4,6,0,1,3,6,0,0,3,cracked_die;clay_piggy_bank;clay_piggy_bank;polished_stone;stellar_alignment,1092,small_straight
107,standard,1,grid-aware,budget,2,false,2,boss,22,2,1,0,1,2,1,5,5,0,1,1,3,1,0,2,cracked_die;triplet_master;clay_piggy_bank,658,four_of_a_kind
108,standard,1,grid-aware,budget,3,false,3,big,65,29,6,0,0,1,3,5,7,0,2,2,5,1,0,5,clay_piggy_bank;cracked_die;triplet_master;clay_piggy_bank;cracked_die,480,large_straight
109,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,108,sixes
110,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,126,sixes
111,standard,1,grid-aware,budget,2,false,2,boss,21,3,0,0,0,1,1,3,6,1,0,4,1,1,0,4,cracked_die;triplet_master;ghost_die;clay_piggy_bank,459,full_house
112,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,126,sixes
113,standard,1,grid-aware,budget,1,false,1,big,5,1,0,0,0,0,1,1,2,0,0,1,1,0,0,0,triplet_master;clay_piggy_bank,180,full_house
114,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,,120,fives
115,standard,1,grid-aware,budget,2,false,2,boss,30,6,0,0,1,1,3,5,5,0,2,0,2,1,0,2,triplet_master;polished_stone;triplet_master;clay_piggy_bank;clay_piggy_bank,480,four_of_a_kind
116,standard,1,grid-aware,budget,2,false,2,big,18,2,1,0,0,0,2,5,4,0,1,1,3,1,0,1,cracked_die;triplet_master;clay_piggy_bank,385,large_straight
117,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,2,2,2,0,0,0,1,0,0,0,clay_piggy_bank,144,sixes
118,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,2,2,2,0,0,0,1,0,0,0,clay_piggy_bank,126,sixes
119,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,2,3,3,2,0,1,0,0,0,1,cracked_die;cracked_die,258,full_house
120,standard,1,grid-aware,budget,3,false,3,boss,80,44,11,0,0,1,3,7,6,2,2,2,3,3,0,3,triplet_master;cracked_die;clay_piggy_bank;clay_piggy_bank;polished_stone,624,full_house
121,standard,1,grid-aware,budget,1,false,1,big,4,0,0,0,0,1,0,2,2,0,1,1,0,0,0,0,clay_piggy_bank,184,full_house
122,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,1,0,0,2,1,3,1,1,0,2,0,0,1,polished_stone,189,small_straight
123,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,126,sixes
124,standard,1,grid-aware,budget,4,false,4,boss,61,9,3,6,0,0,0,4,10,0,1,6,3,1,0,2,polished_stone;cracked_die;polished_stone;polished_stone;polished_stone,996,full_house
125,standard,1,grid-aware,budget,1,false,1,boss,8,4,0,0,0,1,1,1,2,1,0,2,1,1,0,1,triplet_master,232,full_house
126,standard,1,grid-aware,budget,3,false,3,boss,50,6,1,0,0,7,3,8,6,2,3,2,1,2,0,1,clay_piggy_bank;cracked_die;cracked_die;triplet_master;cracked_die,510,four_of_a_kind
127,standard,1,grid-aware,budget,2,false,2,big,18,2,0,1,0,1,1,2,4,2,1,2,2,1,0,2,clay_piggy_bank;polished_stone;cracked_die;clay_piggy_bank,315,small_straight
128,standard,1,grid-aware,budget,3,false,3,big,31,3,0,0,0,1,4,7,8,0,3,1,2,0,0,2,cracked_die;cracked_die;triplet_master;cracked_die;cracked_die,672,four_of_a_kind
129,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,0,2,3,3,0,0,0,1,1,0,1,cracked_die;triplet_master;cracked_die,280,large_straight
130,standard,1,grid-aware,budget,1,false,1,big,4,0,0,0,0,0,1,2,2,0,0,0,1,0,0,1,triplet_master,126,sixes
131,standard,1,grid-aware,budget,2,false,2,boss,24,4,0,0,0,1,2,4,5,0,0,2,2,2,0,1,triplet_master;cracked_die;cracked_die;cracked_die;cracked_die,600,large_straight
132,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,0,2,2,1,1,0,0,0,0,1,clay_piggy_bank,126,sixes
133,standard,1,grid-aware,budget,2,false,2,boss,28,4,0,1,0,0,1,5,4,0,2,2,5,0,0,2,polished_stone;triplet_master;clay_piggy_bank;clay_piggy_bank;polished_stone,402,sixes
134,standard,1,grid-aware,budget,4,false,4,big,58,14,4,0,1,3,0,11,7,3,1,3,2,2,0,4,cracked_die;polished_stone;triplet_master;clay_piggy_bank;cracked_die,990,large_straight
135,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,0,2,3,3,0,0,0,2,0,0,2,cracked_die;triplet_master,240,fives
136,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
137,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,2,2,3,2,0,1,0,1,0,0,1,cracked_die;clay_piggy_bank,240,fives
138,standard,1,grid-aware,budget,2,false,2,boss,24,0,0,0,0,1,4,5,6,1,1,1,2,0,0,1,polished_stone;cracked_die;clay_piggy_bank;triplet_master,585,full_house
139,standard,1,grid-aware,budget,3,false,3,small,37,5,0,0,0,0,3,5,5,1,0,2,3,0,1,3,cracked_die;clay_piggy_bank;polished_stone;polished_stone;clay_piggy_bank,791,small_straight
140,standard,1,grid-aware,budget,5,false,5,boss,87,31,21,0,0,0,7,6,11,1,4,6,9,1,0,4,triplet_master;cracked_die;polished_stone;cracked_die;polished_stone,1476,full_house
141,standard,1,grid-aware,budget,2,false,2,boss,30,6,0,0,0,0,1,6,3,1,3,1,2,0,0,2,polished_stone;clay_piggy_bank;cracked_die;clay_piggy_bank;triplet_master,427,full_house
142,standard,1,grid-aware,budget,4,false,4,big,53,9,2,0,0,2,3,5,10,2,1,1,2,0,1,5,polished_stone;polished_stone;cracked_die;polished_stone;triplet_master,1080,yahtzee
143,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,1,3,3,3,0,0,0,1,1,0,0,cracked_die;polished_stone,280,large_straight
144,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
145,standard,1,grid-aware,budget,1,false,1,boss,7,3,0,0,0,1,1,3,3,0,1,0,1,1,0,1,triplet_master,220,large_straight
146,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,1,1,0,2,2,0,0,0,1,0,0,1,polished_stone,186,sixes
147,standard,1,grid-aware,budget,1,false,1,boss,11,3,0,0,0,0,2,2,3,0,0,0,3,1,0,0,clay_piggy_bank;polished_stone,220,large_straight
148,standard,1,grid-aware,budget,1,false,1,big,4,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,clay_piggy_bank;polished_stone,138,sixes
149,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,126,sixes
150,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,0,2,2,3,0,1,1,1,0,0,1,triplet_master;triplet_master,396,four_of_a_kind
151,standard,1,grid-aware,budget,1,false,1,boss,9,1,0,0,0,1,1,2,3,0,1,2,0,0,0,0,triplet_master;clay_piggy_bank,360,four_of_a_kind
152,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,1,2,2,0,1,0,0,0,0,1,clay_piggy_bank,144,sixes
153,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,1,1,2,3,0,0,1,2,0,0,1,polished_stone;triplet_master,408,full_house
154,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,,144,sixes
155,standard,1,grid-aware,budget,1,false,1,boss,8,0,0,0,0,1,0,3,3,1,0,2,1,0,0,0,triplet_master;triplet_master;cracked_die,232,full_house
156,standard,1,grid-aware,budget,4,false,4,boss,104,48,13,0,0,1,2,10,7,0,1,3,4,1,1,2,cracked_die;clay_piggy_bank;clay_piggy_bank;polished_stone;cracked_die,837,small_straight
157,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
158,standard,1,grid-aware,budget,3,false,3,big,36,4,0,0,0,1,3,4,6,2,0,2,3,0,0,3,polished_stone;cracked_die;cracked_die;cracked_die;clay_piggy_bank,1001,full_house
159,standard,1,grid-aware,budget,1,false,1,small,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,108,sixes
160,standard,1,grid-aware,budget,2,false,2,boss,35,7,0,0,0,4,1,3,6,0,2,2,2,1,0,1,clay_piggy_bank;cracked_die;clay_piggy_bank;cracked_die;clay_piggy_bank,399,full_house
161,standard,1,grid-aware,budget,3,false,3,big,48,16,3,0,1,1,3,7,7,0,0,2,0,0,0,3,cracked_die;cracked_die;cracked_die;triplet_master;clay_piggy_bank,715,fives
162,standard,1,grid-aware,budget,4,false,4,boss,57,9,2,0,0,2,0,10,7,0,3,3,4,2,0,5,cracked_die;cracked_die;triplet_master;cracked_die;polished_stone,1296,full_house
163,standard,1,grid-aware,budget,4,false,4,boss,72,20,5,0,3,3,2,5,10,3,0,4,6,0,0,4,polished_stone;clay_piggy_bank;polished_stone;cracked_die;polished_stone,1085,full_house
164,standard,1,grid-aware,budget,3,false,3,big,36,4,0,0,0,1,1,5,7,2,1,1,2,0,0,3,polished_stone;cracked_die;polished_stone;cracked_die;triplet_master,846,four_of_a_kind
165,standard,1,grid-aware,budget,2,false,2,big,29,5,0,0,0,1,2,4,5,0,0,1,2,0,0,3,clay_piggy_bank;polished_stone;polished_stone;clay_piggy_bank;clay_piggy_bank,324,sixes
166,standard,1,grid-aware,budget,1,false,1,boss,8,4,0,0,0,1,1,2,3,0,1,1,0,0,0,2,cracked_die,240,fives
167,standard,1,grid-aware,budget,1,false,1,big,3,3,0,0,0,1,1,2,2,0,0,0,0,0,0,2,triplet_master,144,sixes
168,standard,1,grid-aware,budget,2,false,2,boss,28,0,0,0,0,1,1,4,6,2,1,2,3,1,0,1,triplet_master;clay_piggy_bank;cracked_die;polished_stone;triplet_master,520,four_of_a_kind
